"school_name","canopy_id","nces_school_id","nces_school_type"
"Milton Senior High School",543,500561000125,"Public district school"
"Rogers New Technology High School",547,51197001586,"Public charter school"
"Phoenix Modern",549,40099003649,"Public charter school"
"Gowan Science Academy",550,40240003323,"Public district school"
"Tanque Verde High School",551,40828002550,"Public district school"
"Arabia Mountain High School - Academy of Engineering- Medic",552,130174003915,"Public district school"
"Ivy Academy Inc.",554,470159002220,"Public charter school"
"Grayson High School",555,130255002387,"Public district school"
"IDEA Frontier College Preparatory",556,480021111952,"Public charter school"
"Young Women's Preparatory Academy",558,120039007016,"Public district school"
"Holladay Intermediate Magnet School",559,40880000851,"Public district school"
"Veterans Memorial Early College H S",560,481168012029,"Public district school"
"Valle Verde Early College H S",561,484668011982,"Public district school"
"Salem Academy Charter School",562,250008401847,"Public charter school"
"Jimmy Carter Early College High School",563,482613010825,"Public district school"
"Phillips Academy",564,603199,NA
"[Non-Operating School] RISE Academy",565,530807002355,"Public district school"
"Swiftwater Alternative High School",568,530135002987,"Public district school"
"Two Rivers School",570,530804002158,"Public district school"
"Dayspring Academy",575,120153004426,"Public charter school"
"Chautauqua Charter School",579,120009005431,"Public charter school"
"Vimenti School",581,720003001945,"Public charter school"
"White River Valley Middle School",583,500042600545,"Public district school"
"Coquillard Elementary School",584,181029001644,"Public district school"
"Beta Academy",585,480144613188,"Public charter school"
"Foundation School of Autism - San Antonio",586,480020713927,"Public charter school"
"Asu Preparatory Academy Digital",587,40096503556,"Public charter school"
"Personalized Learning Preparatory at Sam Houston",589,481623001283,"Public district school"
"CityLab High School",591,481623013553,"Public district school"
"A Vito Martinez Middle School",594,174007004037,"Public district school"
"The Williamsburg High School of Art and Technology",595,360011905896,"Public district school"
"Kennelly School",596,90192000368,"Public district school"
"School 9 - Dr. Martin Luther King Jr.",597,362475003384,"Public district school"
"The Exploris School",598,370004302358,"Public charter school"
"Coatimundi Middle School",600,40752002768,"Public district school"
"New Harmony High Institute",601,220030402457,"Public charter school"
"Highlander Elementary Charter",602,440003100524,"Public charter school"
"360 High School",603,440090000492,NA
"Samuel Everett School of Innovation",611,470030002557,"Public district school"
"Gary Middle College",614,180010202535,"Public charter school"
"Katahdin Middle/High School",616,231483800397,"Public district school"
"Vista Innovation and Design Academy",619,64119006825,"Public district school"
"Da Vinci Connect TK-8",621,60229313702,"Public charter school"
"Georgia Fugees Academy Charter School",622,130026304378,"Public charter school"
"Dallas Hybrid Preparatory at Stephen J. Hay",623,481623014139,"Public district school"
"Lumen High School",625,530035003770,"Public charter school"
"Magic City Acceptance Academy",626,10021102505,"Public charter school"
"Phoenix International Academy",627,40097503596,"Public charter school"
"Rainier Valley Leadership Academy",628,530034203602,"Public charter school"
"Brooklyn International High School",629,360009101371,"Public district school"
"Crotona International High School",630,360008706247,"Public district school"
"South Bronx Academy for Applied Media",631,360008405785,"Public district school"
"Marsh Avenue Expeditionary Learning School",632,360010306006,"Public district school"
"Urban Assembly Unison School",633,360009106366,"Public district school"
"Hunter's Point Community Middle School",634,360010206441,"Public district school"
"Waxpool Elementary",636,510225003060,"Public district school"
"Goshen Post Elementary",637,510225003046,"Public district school"
"Valor Preparatory Academy of Arizona",640,40098803680,"Public charter school"
"University Heights Secondary School - Bronx Community College",641,360008400749,"Public district school"
"Arturo A. Schomburg Satellite Academy Bronx",642,360009006218,"Public district school"
"DeKalb Brilliance Academy",643,130585104459,"Public charter school"
"Compass Academy",646,160153001043,"Public district school"
"Ignite Institute",647,2100289,NA
"Portland Middle School",649,262912006499,"Public district school"
"Hamilton High School",650,261740005416,"Public district school"
"Washington Middle School",651,260769004354,"Public district school"
"Portland High School",652,262912006497,"Public district school"
"Dolores Huerta Middle School",653,63543014549,"Public district school"
"Colchester High School",654,500324000087,"Public district school"
"Lucama Elementary",656,370502002002,"Public district school"
"David H. Petree Elementary",657,370150002451,"Public district school"
"Ross Elementary",658,481800001591,"Public district school"
"St. Patrick Catholic School",659,259009,NA
"One World Middle School",660,360008806259,"Public district school"
"Global Citizens Public Charter School",663,110011600545,"Public charter school"
"[Non-Operating School] I Dream Public Charter School",666,110011400538,"Public charter school"
"Capital Village Public Charter School",667,110011200536,"Public charter school"
"Batesburg-Leesville Primary School",669,450276000745,"Public district school"
"Dr. William W. Henderson K-12 Inclusion School",671,250279000952,"Public district school"
"Tapestry Public Charter School",672,130174004159,"Public charter school"
"Cecilton Elementary School",673,240024000562,"Public district school"
"Fenway High School",674,250279000695,"Public district school"
"Odessa High School",675,100008000390,"Public district school"
"Antrim Elementary School",676,330248000065,"Public district school"
"Charlotte Central School",677,500039600084,"Public district school"
"Creative Minds International",678,110008400440,"Public charter school"
"Ruby Bridges Elementary School",679,530591003746,"Public district school"
"Compass Community Collaborative School",682,80399006762,"Public charter school"
"Innovation Lab High School",685,530591003747,"Public district school"
"Academy of Advanced Learning",687,80234006736,NA
"Alabama Aerospace and Aviation High School",688,10021302528,"Public charter school"
"Alma Fuerte Public School",689,60240814146,"Public charter school"
"Altura Preparatory School",690,350017801138,"Public charter school"
"Becoming Collegiate Academy",692,120048008966,"Public charter school"
"BELIEVE Circle City High School",693,180022302708,"Public charter school"
"Bostonia Global K-14",694,60256214589,"Public charter school"
"Breakthrough Charter School",695,10020802503,"Public charter school"
"Bronx Legacy High School",696,360115806600,"Public charter school"
"BRICK Achieve Middle School",697,340079203419,NA
"Building 21 Allentown",699,420228007623,"Public district school"
"Butler Academy",700,450390101737,"Public charter school"
"Caliber ChangeMakers Academy",701,60158214030,"Public charter school"
"Carter G. Woodson College Preparatory Academy",702,210186002525,"Public district school"
"Catalyst: Bremerton",703,530034703723,"Public charter school"
"Coperni 3",705,80002006784,"Public charter school"
"Endazhi-Nitaawiging Charter School",708,270048405570,"Public charter school"
"Growth Public Schools",710,60218314124,"Public charter school"
"High School of Commerce",712,251113001806,"Public district school"
"Ignite Middle School",713,481623013825,"Public district school"
"Kansas City Girls Prep Academy",714,290061503364,"Public charter school"
"Las Américas ASPIRA Academy",715,100005000342,"Public charter school"
"LEEP Dual Language Academy",716,360120506696,"Public charter school"
"MS 935",717,360012006739,"Public district school"
"Marin's Community School",718,69101809230,"Public district school"
"McClure Health Science High School",719,130255004344,"Public district school"
"Montessori Elementary at Highland Park",720,470159002652,"Public charter school"
"MS 371 SEED: Harlem",721,360008106713,"Public district school"
"Nichols Intermediate Academy of Leadership",722,50042101669,NA
"Oxford Day Academy",723,60201614082,"Public charter school"
"Phalen Leadership Academy @ 103",724,180021800834,"Public charter school"
"Pinnacles Prep",725,530035203807,"Public charter school"
"Rise STEM Academy for Girls",726,210186002513,"Public district school"
"Rodriguez Elementary",727,483897013738,"Public district school"
"Seckinger High School",728,130255004425,"Public district school"
"Solar Preparatory School for Boys",729,481623013841,"Public district school"
"URBAN ACT Academy",731,180019202640,NA
"THRIVE Community School",734,350018901166,"Public charter school"
"Acceleration Day and Evening Academy",735,10019702432,"Public charter school"
"Acceleration Preparatory Academy",736,10019702527,"Public charter school"
"Achievers Early College Prep Charter School",737,340079403457,"Public charter school"
"Zeta Bronx Tremont Park Elementary",738,360121906717,"Public charter school"
"Impact | Commencement Bay Elementary",739,530035403782,"Public charter school"
"Impact | Salish Sea Elementary",740,530034803749,"Public charter school"
"Synergy at Fremont Middle School",741,160177000805,"Public district school"
"Elevate Academy Nampa",742,160020301165,"Public charter school"
"KIPP Beyond Middle School",743,360122706735,"Public charter school"
"LEAD Charter School",744,340078803423,"Public charter school"
"Chelsea Opportunity Academy",745,250354002890,"Public district school"
"Nowell Academy",747,440002400483,"Public district school"
"Zeta Inwood",748,360117106637,"Public charter school"
"Zeta Mount Eden",749,360121806716,"Public charter school"
"Liberty STEAM Charter School",750,450390101741,"Public charter school"
"Maritime High School",751,530354003793,"Public district school"
"Rio Rico High School",754,40752001036,"Public district school"
"Choice Learning Academy",755,40060000015,"Public district school"
"Cibola High School",756,40963001388,"Public district school"
"San Luis High School",757,40963003076,"Public district school"
"Zuni High School",758,350280000676,"Public district school"
"Great Hearts Online",762,480144114170,"Public charter school"
"Skyline High School",763,62805004315,"Public district school"
"Robert F. Smith STEAM Academy",764,80336006821,"Public district school"
"Purdue Polytechnic High School - Broad Ripple",766,180021102685,"Public charter school"
"Purdue Polytechnic High School - South Bend",767,180021402689,"Public charter school"
"Phoenix Coding Academy",775,40633003509,"Public district school"
"PXU City",776,40633003701,"Public district school"
"Anderson Institute of Technology",777,450391101720,"Public district school"
"Hartford Area Career and Technology Center",780,500459000093,"Public district school"
"Margarita Muñiz Academy",783,250279002753,"Public district school"
"Manchester High School",784,90231000424,"Public district school"
"Rogers High School",785,440072000159,"Public district school"
"The New School of San Francisco",786,60243913939,"Public charter school"
"California Area High School",787,420471004203,"Public district school"
"Arthur Ashe Charter School",788,220019200947,"Public charter school"
"Langston Hughes Charter Academy",789,220020600976,"Public charter school"
"Champlain Valley Union High School",790,500039600082,"Public district school"
"Greater Lawrence Technical School",791,250547002267,"Public district school"
"Kairos Academies",792,290061603362,"Public charter school"
"Navajo Preparatory School",793,590011600144,"Public district school"
"The Nueva School",795,89169,NA
"Schools of Perea",796,470014802544,"Public charter school"
"Codman Academy Charter School",799,250007001667,"Public charter school"
"Libertas School of Memphis",800,470015702437,"Public charter school"
"Rooted School Vancouver",801,531017103924,"Public charter school"
"Maureen Joy Charter School",802,370002202089,"Public charter school"
"VALE - Venture Academy of Leadership and Entrepreneurship",803,80345006873,"Public district school"
"Kyrene Aprende Middle School",804,40423000653,"Public district school"
"Campus School",805,470014801025,NA
"Koshkonong Trails School",807,550210003093,"Public charter school"
"Katahdin Elementary School",808,231483800398,"Public district school"
"West Hawaii Explorations Academy",810,150003000265,"Public charter school"
"Alturas International Academy",811,160017501082,"Public charter school"
"Herron High School",812,180005802315,"Public charter school"
"Global Preparatory Academy",813,180017002610,"Public charter school"
"Edison School of Innovation",815,40097803585,"Public charter school"
"Innovation Academy",816,40068003517,"Public district school"
"Segue Institute for Learning",817,440001400472,"Public charter school"
"City High School",818,40040702404,"Public charter school"
"Milestone Democratic School",821,550008503136,NA
"Bow High School",822,330195000563,"Public district school"
"Miss Porter's School",823,233206,NA
"Pomfret School",826,232949,NA
"James Madison High School",828,510126000532,"Public district school"
"Desert View High School",830,40817001438,"Public district school"
"Davis Connect 7-12",832,490021001598,"Public district school"
"Wak̇aŋyeja Ki Ṫokeyaḣc̄i",834,360007803603,NA
"Charles Carroll Barrister Elementary School",835,240009000153,"Public district school"
"Kahuku Elementary School",836,150003000236,"Public district school"
"Washington Fields Intermediate",837,490114001555,"Public district school"
"Academy for Global Citizenship",839,170993006035,"Public charter school"
"Freedom Prep Academy",840,490006200992,"Public charter school"
"Timpanogos High School",841,490003000362,"Public district school"
"Ogden High School",842,490072001271,"Public district school"
"Westwood High School",843,40497000419,"Public district school"
"Kimberly Park Elementary",844,370150000615,"Public district school"
"CityLab Innovation High School",845,251005001659,"Public district school"
"Monument Mountain Regional High School",846,250253000154,"Public district school"
"Margaret Hearne Elementary School",847,370502002003,"Public district school"
"Upton High School",848,560609000401,"Public district school"
"Dondero School",849,330582000373,"Public district school"
"Gem Prep Online",853,160017200846,"Public charter school"
"Springfield Legacy Academy",857,51113002917,NA
"Tyee High School",858,530354000555,"Public district school"
"Hollister Prep",860,60232013525,"Public charter school"
"Launch Expeditionary Learning Charter School",861,360105906349,"Public charter school"
"Girls Athletic Leadership School - Los Angeles",863,60146613973,"Public charter school"
"Jumoke Academy",864,90000700747,"Public charter school"
"Breakthrough Village Prep Cliffs",865,390136805528,"Public charter school"
"Coker-Wimberly Elementary",868,370132000553,"Public district school"
"Breakthrough Montessori Public Charter School",870,110010400507,"Public charter school"
"Hialeah Gardens High School",871,120039006229,"Public district school"
"Innovation Heights Academy",872,530354002967,"Public district school"
"Liberty High School",875,390159505936,"Public charter school"
"Owensboro Innovation Academy",877,210459002411,"Public district school"
"Aiken New Tech High School",878,390437504417,"Public district school"
"Samueli Academy",879,60205113076,"Public charter school"
"Detroit Achievement Academy",881,260104808503,"Public charter school"
"Valor Academy Middle School",882,60167912510,"Public charter school"
"H.D. Cooke Elementary",884,110003000100,"Public district school"
"Raisbeck Aviation High School",885,530354002974,"Public district school"
"Liberty Collegiate Academy",888,470318002263,"Public charter school"
"DreamHouse ‘Ewa Beach",891,150003000305,"Public charter school"
"Eagle Academy High School",892,160210000466,"Public district school"
"Aldine Young Women's Leadership Academy",893,480771014248,"Public district school"
"Ermel Elementary",894,480771000067,"Public district school"
"American Indian Magnet School",895,273384002303,"Public district school"
"Txuj Ci HMong Lower Campus",896,273384001619,"Public district school"
"Txuj Ci HMong Upper Campus",897,273384005541,"Public district school"
"McDonald Middle School",898,483039003409,"Public district school"
"Winyan Wakan Owayawa - Our Lady of Lourdes",899,1282139,NA
"Mountain View High School",900,40497000406,"Public district school"
"Harris Elementary",902,480771008260,"Public district school"
"Whittier Elementary School",903,40497000421,"Public district school"
"Southern University Lab School",904,220002301921,"Public district school"
"Old Sturbridge Academy",908,250058702877,"Public charter school"
"Heritage Charter Academy",909,160015901017,"Public charter school"
"Kyrene de las Manitas Innovation Academy",912,40423000677,"Public district school"
"Oakland High",913,62805004304,"Public district school"
"Atlanta Unbound",914,130026104376,"Public charter school"
"Gordon Bernell Charter School",918,350006001040,"Public charter school"
"Florida A&M University Developmental Research School",919,120201402974,"Public district school"
"Environmental Charter High School – Lawndale",922,60207608718,"Public charter school"
"Advanced Learning Academy",923,483873013447,"Public charter school"
"St. George School",925,231482000710,"Public district school"
"West Virginia Academy",927,540165201611,"Public charter school"
"Chestnut TAG Middle School",932,251113002840,"Public district school"
"Pathfinder Kindergarten Center",941,530543003595,"Public district school"
"Whittier Community School",942,20080000372,"Public district school"
"Tatitlek Community School",944,20080000371,"Public district school"
"Hope Academy",945,40386003535,"Public district school"
"Winton Woods Middle School at North Campus",946,390440801021,"Public district school"
"Helen Keeling Elementary School",983,40068000026,"Public district school"
"George Washington Elementary School",984,470219000715,"Public district school"
"University Middle School",987,470014802590,NA
"Mountain Community School",992,160019301121,"Public charter school"
"Wohlwend Elementary",994,292067001124,"Public district school"
"James & Grace Lee Boggs School",995,260105108518,"Public charter school"
"Summit Charter School",997,370002902321,"Public charter school"
"Gatewood Elementary",998,271426001880,"Public district school"
"Eagles Academy",999,551398003171,"Public charter school"
"STEAM Academy",1000,210186002341,"Public district school"
"Jenison Innovation Academy",1001,261983008230,"Public district school"
"Richford Jr Sr High School",1003,500044400256,"Public district school"
"Étude High School",1008,551365002859,"Public charter school"
"Cedar High School",1009,530790003753,"Public district school"
"The Cottonwood School of Civics and Science",1010,410000901734,"Public charter school"
"Rock River Elementary School",1011,560073000453,"Public district school"
"The Academy of Seminole",1012,400080302873,"Public charter school"
"Heritage Elementary School",1013,402938002727,"Public district school"
"Summit Atlas",1015,530034303611,"Public charter school"
"Central Hardin High School",1016,210249000528,"Public district school"
"Montessori del Mundo",1017,80002006602,"Public charter school"
"Mountain Middle School",1018,80002006502,"Public charter school"
"North Heights Community School",1020,51311001733,"Public district school"
"Detroit Lakes High School",1021,271023000442,"Public district school"
"Parkside Montessori",1022,63492005916,"Public district school"
"Boston Green Academy",1023,250052602703,"Public charter school"
"Lyon High School",1024,250279002674,"Public district school"
"Prospect Hill Academy",1025,250004600819,"Public charter school"
"Puente De Hozho Bilingual Magnet School",1026,40286002097,"Public district school"
"Merrimack Valley High School",1027,330476000284,"Public district school"
"Sci Tech High School",1028,251113000901,"Public district school"
"Boston International Newcomers Academy",1029,250279002015,"Public district school"
"Dermott High School",1030,50517000239,"Public district school"
"Helen M Marshall School",1031,360009806179,"Public district school"
"Abigail Adams School",1033,360010102483,"Public district school"
"Port Richmond School for Visionary Learning",1034,360010306590,"Public district school"
"Curtis School",1035,360010302102,"Public district school"
"Academy of Innovation at Remington",1036,292370001419,"Public district school"
"Parkway Central Middle School",1037,292358001547,"Public district school"
"Palo Alto High School",1038,62961004596,"Public district school"
"Gateway Middle School",1039,60186112800,"Public charter school"
"Gateway High School",1040,60242607725,"Public charter school"
"Bunker Hill Elementary School",1041,110003000111,"Public district school"
"Hage Elementary School",1042,63432010057,"Public district school"
"Spokane Public Montessori",1043,530825003502,"Public district school"
"McComb High School",1044,280288000556,"Public district school"
"Middleton High School",1045,160213000377,"Public district school"
"Marvell-Elaine Elementary",1047,50951000696,"Public district school"
"Summit Sierra",1048,530033403510,"Public charter school"
"Union City Jr.-Sr. High School",1049,180318000415,"Public district school"
"High School of Health Science (HS^2)",1050,550351002988,"Public charter school"
"R.L. Turner High School",1051,483444012910,"Public district school"
"Roybal Learning Center",1052,62271012295,"Public district school"
"Mc^2 Stem High School",1053,390437805476,"Public district school"
"The Wildlands School",1055,550063002586,"Public charter school"
"City Academy",1056,270895500016,"Public charter school"
"Terra Nova",1057,270040304850,"Public charter school"
"Southwest Miami High Academy of Finance",1058,120039000615,"Public district school"
"Goodwill Excel Center",1059,110010500508,"Public charter school"
"Science Academy",1060,483715000429,"Public district school"
"Ann Richards School for Young Women Leaders",1061,480894011354,"Public district school"
"STEM Magnet at Mountlake Terrace High School",1063,530240000356,"Public district school"
"Bronx High School for Law & Community Service",1064,360008705185,"Public district school"
"Bronx Latin",1065,360009005689,"Public district school"
"Bronx High School of Science",1066,360008701922,"Public district school"
"[Non-Operating School] North Bronx School of Empowerment",1067,360008805800,"Public district school"
"Metropolitan Arts Academy",1069,80723001232,"Public district school"
"Wells Station Elementary School",1070,470014801171,"Public district school"
"The Meyer Levin School for the Performing Arts",1071,360009602795,"Public district school"
"Newton South High School",1073,250861001375,"Public district school"
"Cajon Valley Middle School",1075,60681000607,"Public district school"
"Newton North High School",1076,250861001374,"Public district school"
"Bronx Center for Science and Mathematics",1077,360008605794,"Public district school"
"Glenview Avenue Elementary School",1078,340633001530,"Public district school"
"Tubman Elementary",1079,110003000074,"Public district school"
"Kennedy Elementary School (Lindsay USD)",1080,62187012815,"Public district school"
"Orchard STEM School",1081,390437800526,"Public district school"
"New Pathways Academy",1082,360008606642,"Public district school"
"Horizon Middle School",1083,317239001104,"Public district school"
"Elm City Montessori",1085,90021601683,"Public charter school"
"Westbrook High School",1086,231356000623,"Public district school"
"Sunset Beach Elementary School",1087,150003000024,"Public district school"
"West Edgecombe Middle School",1088,370132000560,"Public district school"
"Kennedy Academy",1089,181029001663,"Public district school"
"Jersey City Global Charter School",1090,340076703251,"Public charter school"
"Godsman Elementary",1091,80336000354,"Public district school"
"DeWitt Clinton Elementary School",1093,170993000664,"Public district school"
"Neighborhood Charter School of Harlem",1094,360107706308,"Public charter school"
"G.W. Carver Elementary School",1095,370132000552,"Public district school"
"New Liberty Innovation School",1096,251038002864,"Public district school"
"Thurgood Marshall Academy Public Charter High School",1097,110003400249,"Public charter school"
"East Fort Worth Montessori Academy",1098,480025509603,"Public charter school"
"LPS Hayward",1100,60181510737,"Public charter school"
"Brooklyn Urban Garden Charter School",1101,360110006402,"Public charter school"
"Great Oaks Kathleen Sherry Charter School",1102,360108506376,"Public charter school"
"Garrison Elementary School",1103,110003000171,"Public district school"
"Animas High School",1104,80002006418,"Public charter school"
"Kwiyagat Community Academy",1105,80002006828,"Public charter school"
"AXIS International Academy",1106,80002006768,"Public charter school"
"Colorado International Language Academy",1107,80002006586,"Public charter school"
"Pan American International High School",1108,360009806084,"Public district school"
"Leaders of Tomorrow Middle School",1110,360008805969,"Public district school"
"Power Center Academy Hickory Hill Elementary School",1113,470014802429,"Public charter school"
"Eminence Elementary",1118,210171000333,"Public district school"
"Brookline High School",1119,250315000415,"Public district school"
"Science Leadership Academy Middle School",1121,421899007592,"Public district school"
"Pewaukee High School",1124,551164001537,"Public district school"
"James E. Dottke Project-Based Learning High School",1588,551626002490,"Public district school"
"AECI 1 - The NYC Charter School for Architecture, Engineering, and Construction Industries",1593,360095906073,"Public charter school"
"Global Concepts Charter School",1594,360006704861,"Public charter school"
"Health Sciences Charter School",1595,360102206239,"Public charter school"
"Charter School For Applied Technologies",1596,360002504349,"Public charter school"
"The Portage School Of Leaders",1597,181324002777,"Public charter school"
"The Stead School",1599,80258006832,"Public charter school"
"Boston Teachers Union",1601,250279002687,"Public district school"
"John J. Duggan Academy",1602,251113002599,"Public district school"
"Washtenaw International High School",1603,268099008147,"Public district school"
"High Marq Environmental Charter School",1607,550987002821,"Public charter school"
"Kalon Prep Academy",1609,270047405441,"Public charter school"
"E.C.H.O. Charter School (Every Child Has Opportunities)",1611,270013902718,"Public charter school"
"BlueSky Online",1612,270019303146,"Public charter school"
"Warwick Community School",1617,251332302950,"Public district school"
"Kindle Education",1619,348036606161,"Public charter school"
"New Hampshire Career Academy",1621,339998210055,"Public charter school"
"Denver Green School Northfield",1622,80336006790,"Public district school"
"Mark Twain Dual Language Academy",1623,483873013563,"Public charter school"
"Brooklyn Emerging Leaders Academy Charter School",1624,360116006622,"Public charter school"
"Phillips Middle School",1625,370132000556,"Public district school"
"Kujawa Elementary",1626,480771009556,"Public district school"
"Forte Preparatory Academy Middle School",1627,360116406623,"Public charter school"
"Legacy College Prep",1628,360115806600,"Public charter school"
"Math Engineering and Science Academy Charter School (MESA Bushwick)",1631,360109306429,"Public charter school"
"ABQ Charter Academy",1632,350006000893,"Public charter school"
"Bingham Academy",1633,160016901067,"Public charter school"
"Meridian Medical Arts Charter High School",1634,160210000804,"Public charter school"
"Academy Of Collaborative Education",1635,228011110440,"Public charter school"
"CAST Med High School",1636,483873013894,"Public charter school"
"IYC Iovine And Young Center",1637,62271014652,"Public district school"
"Collins Middle School",1638,251038002404,"Public district school"
"Cottonwood Elementary School",1639,350030001156,"Public district school"
"Hawaii Technology Academy Waipahu",1642,150003000295,"Public charter school"
"Milwaukee Academy of Science",1646,550004202234,"Public charter school"
"North Star Academy Washington Park High School",1647,340002400289,"Public charter school"
"Rio Grande High School",1648,350006000100,"Public district school"
"Old Mill Elementary School",1650,210075001578,"Public district school"
"Seattle World School",1651,530771001311,"Public district school"
"Highline High School",1653,530354000531,"Public district school"
"Appoquinimink High School",1654,100008000225,"Public district school"
"Bronx Excellence 2",1655,360114206578,"Public charter school"
"Lowell Elementary",1656,301857000574,"Public district school"
"The Academies of Danbury High School",1657,90102000150,"Public district school"
"Desert Edge High School",1658,40045002273,"Public district school"
"Washington Latin - Cooper Campus",1659,110001900779,"Public charter school"
"Washington Latin - 2nd Street Campus",1660,110001900423,"Public charter school"
"Global Village Academy Aurora",1661,80234006318,"Public charter school"
"Global Village Academy – North",1662,80002006503,"Public charter school"
"Narragansett High School",1663,440066000151,"Public district school"
"CAST Lead",1665,481785013877,"Public charter school"
"CAST Tech",1666,483873013665,"Public charter school"
"Nash Central Middle",1667,370327001345,"Public district school"
"Rocky Mount Middle",1668,370327003272,"Public district school"
"Durant Road Middle School",1669,370472000942,"Public district school"
"Union Hill Elementary",1670,370192000854,"Public district school"
"South Valley High",1671,64030006663,"Public district school"
"Forest Hills Middle",1672,370502002191,"Public district school"
"Lafayette Preparatory Academy",1673,290060603223,"Public charter school"
"University Preparatory Charter School For Young Men High School",1674,360100806204,"Public charter school"
"Legal Prep Charter Academy",1675,170993006241,"Public charter school"
"The Urban Assembly Early College High School of Emergency Medicine (ECHEM)",1676,360007706372,"Public district school"
"Circulos High School at Advanced Learning Academy",1677,63531014192,"Public charter school"
"Clear Creek Middle & High School",1679,80300000217,"Public district school"
"SLAM Miami",1680,120039008621,"Public charter school"
"Shields Elementary School",1681,484415005014,"Public district school"
"Horizon Science Academy Columbus High",1683,390004202978,"Public charter school"
"Pinnacle Charter School",1685,80002001915,"Public charter school"
"Sendero School of Academics and Career Preparation (Sendero Prep)",1686,350016801019,"Public charter school"
"MicroSociety Academy Charter School",1687,330330200721,"Public charter school"
"West Michigan Aviation Academy",1688,260097708183,"Public charter school"
"Palm Beach School for Autism",1690,120150004127,"Public charter school"
"South Shore Charter School",1691,368098106778,"Public charter school"
"Comp Sci High",1692,360118206634,"Public charter school"
"STEM School Chattanooga",1693,470159002298,"Public district school"
"Beehive Academy",1694,490002301060,"Public charter school"
"GATES High School",1695,530294001769,"Public district school"
"CHOICE Academy",1696,530354002640,"Public district school"
"Carlsbad Intermediate School: PR Leyva campus",1697,350030000169,"Public district school"
"Desert Willow Elementary",1698,350030001118,"Public district school"
"Englewood Elementary",1699,370327000726,"Public district school"
"James and Rosemary Phalen Leadership Academy High School",1700,180021502701,"Public charter school"
"Perspectives/IIT Math & Science Academy",1710,170993006514,"Public charter school"
"Rodney D. Joslin Campus",1712,170993006503,"Public charter school"
"Perspectives Leadership Academy",1714,170993006437,"Public charter school"
"Perspectives High School of Technology",1715,170993006441,"Public charter school"
"CWC Mar Vista Elementary and Middle School",1719,60218613088,"Public charter school"
"CWC Silverlake Middle School",1722,60227013114,"Public charter school"
"CWC Silverlake Elementary School",1723,60227013114,"Public charter school"
"University Preparatory Charter School For Young Men Middle School",1724,360100806204,"Public charter school"
"Hempstead Elementary School",1725,360099706131,"Public charter school"
"Hempstead Upper Elementary School",1726,360099706131,"Public charter school"
"Hempstead Middle School",1727,360099706131,"Public charter school"
"Hempstead High School",1728,360099706131,"Public charter school"
"The Academy Charter School - Uniondale",1729,360116906639,"Public charter school"
"Elevate Academy North",1731,160020201164,"Public charter school"
"Elevate Academy East",1732,160351601187,"Public charter school"
