Field,Variable Description,Corresponding Survey Question,Response Types,Source
nominator,The organization(s) which nominated the school or learning environment,What organization do you work for or represent?,Open response,Nomination survey
school_id,Canopy school ID number assigned by the Canopy project (metadata),Canopy ID,Internally generated unique identifier,Canopy created variable
nces_id,"Corresponding NCES ID, if applicable, used to collect extant data.",NCES ID,,NCES
school_name,Name of the school,School name:,Open response,Externally generated unique identifier
school_city,Street address where the school is located,School city:,Open response,School survey
school_address,City where the school is located,School address:,Open response,School survey
school_state,State where the school is located,School state:,Open response,School survey
school_district,School district,School district:,Open response,School survey
website,School website,School website:,Open response,School survey
contact_name,Public contact's name for the learning environment.,Please share a public contact for your school.,Open response,School survey
contact_role,Public contact's role at the learning environment.,Please share a public contact for your school.,Open response,School survey
contact_email,Public contact's emaill address at the learning environment.,Please share a public contact for your school.,Open response,School survey
school_type,Describes the school type,Which option best describes your school or learning environment?,"Public district school
Public charter school
Independent (private) school",School survey
school_desc_homeschool,Indicates whether the school identifies as a home school,Do any of the following descriptors apply to your school or learning environment?,1 if Homeschooling cooperative selected; else 0,School survey
school_desc_hybrid,Indicates whether the school identifies as a hybrid school,Do any of the following descriptors apply to your school or learning environment?,1 if Hybrid school selected; else 0,School survey
school_desc_micro,Indicates whether the school identifies as a microschool,Do any of the following descriptors apply to your school or learning environment?,1 if Microschool selected; else 0,School survey
school_desc_part_time,Indicates whether the school identifies as a part time school,Do any of the following descriptors apply to your school or learning environment?,1 if Part time school selected; else 0,School survey
school_desc_sws,Indicates whether the school identifies as a school within a school,Do any of the following descriptors apply to your school or learning environment?,1 if School-within-school selected; else 0,School survey
school_desc_virtual,Indicates whether the school identifies as a virtual school,Do any of the following descriptors apply to your school or learning environment?,1 if Virtual school selected; else 0,School survey
school_desc_other,Indicates whether the school chose to self-identify an additional school descriptor,Do any of the following descriptors apply to your school or learning environment?,1 if Other selected; else 0,School survey
school_desc_other_text,Self-identified school descriptor,Do any of the following descriptors apply to your school or learning environment?,Text provided to specify Other,School survey
school_locale,A combined variable with an exclusive designation for the geographic area the learning environment serves.,,"Urban
Suburban
Rural
Multiple",Canopy created variable
locale_urban,Indicates if the learning environment serves students from urban geographic areas.,Which geography describes the student population your school serves?,1 if Urban selected; else 0,School survey
locale_suburban,Indicates if the learning environment serves students from suburban geographic areas.,Which geography describes the student population your school serves?,1 if Suburban selected; else 0,School survey
locale_rural,Indicates if the learning environment serves students from rural geographic areas.,Which geography describes the student population your school serves?,1 if Rural selected; else 0,School survey
locale_multiple,Indicates if the learning environment serves students from multiple types of geographic areas.,,"1 if a combination Urban, Rural, and/or Suburban selected; else 0",Canopy created variable
locale_other,"Indicates if the learning environment serves students from geographic areas that are not rural, suburban, urban, or a combination of geographic areas.",Which geography describes the student population your school serves?,1 if Other selected; else 0,School survey
locale_other_text,Self-reported geographic area the learning environment serves.,Which geography describes the student population your school serves?,Text provided to specify Other,School survey
school_enrollment,"Total number of students the learning environment serves. Number describes a mix of self-reported and NCES data as leaders are asked to verify the number provided by NCES, if applicable.",How many learners attend [SCHOOL NAME]?,Numeric,School survey
grades_pk,Indicates whether the learning environment offers pre-kindergarten services.,Which grades does your learning environment serve?,1 if Pre-Kindergarten selected; else 0,School survey
grades_k,Indicates whether the learning environment serves kindergarten or equivalent grade.,Which grades does your learning environment serve?,1 if Kindergarten selected; else 0,School survey
grades_1,Indicates whether the learning environment serves first grade or equivalent.,Which grades does your learning environment serve?,1 if 1st grade selected; else 0,School survey
grades_2,Indicates whether the learning environment serves second grade or equivalent.,Which grades does your learning environment serve?,1 if 2nd grade selected; else 0,School survey
grades_3,Indicates whether the learning environment serves third grade or equivalent.,Which grades does your learning environment serve?,1 if 3rd grade selected; else 0,School survey
grades_4,Indicates whether the learning environment serves fourth grade or equivalent.,Which grades does your learning environment serve?,1 if 4th grade selected; else 0,School survey
grades_5,Indicates whether the learning environment serves fifth grade or equivalent.,Which grades does your learning environment serve?,1 if 5th grade selected; else 0,School survey
grades_6,Indicates whether the learning environment serves sixth grade or equivalent.,Which grades does your learning environment serve?,1 if 6th grade selected; else 0,School survey
grades_7,Indicates whether the learning environment serves seventh grade or equivalent.,Which grades does your learning environment serve?,1 if 7th grade selected; else 0,School survey
grades_8,Indicates whether the learning environment serves eighth grade or equivalent.,Which grades does your learning environment serve?,1 if 8th grade selected; else 0,School survey
grades_9,Indicates whether the learning environment serves ninth grade or equivalent.,Which grades does your learning environment serve?,1 if 9th grade selected; else 0,School survey
grades_10,Indicates whether the learning environment serves tenth grade or equivalent.,Which grades does your learning environment serve?,1 if 10th grade selected; else 0,School survey
grades_11,Indicates whether the learning environment serves eleventh grade or equivalent.,Which grades does your learning environment serve?,1 if 11th grade selected; else 0,School survey
grades_12,Indicates whether the learning environment serves twelfth grade or equivalent.,Which grades does your learning environment serve?,1 if 12th grade selected; else 0,School survey
grades_past_12,Indicates whether the learning environment serves beyond twelfth grade or equivalent.,Which grades does your learning environment serve?,1 if Past 12th grade selected; else 0,School survey
grades_other,Indicates whether the learning environment serves grade(s) that fall outside of the PK-12+ grade range.,Which grades does your learning environment serve?,1 if Other selected; else 0,School survey
grades_other_text,Self-reported grades served that fall outside of PK-12+ range.,Which grades does your learning environment serve?,Text provided to specify Other,School survey
grades_elementary,Indicates whether the learning environment serves any elementary grades 1-5.,,1 if school is considered an elementary school by Canopy's definition; else 0,Canopy created variable
grades_middle,Indicates whether the learning environment serves middle grades 7 and middle grades 6 or 8.,,1 if school is considered a middle school by Canopy's definition; else 0,Canopy created variable
grades_high,Indicates whether the learning environment serves any high school grades 10-12.,,1 if school is considered a high school by Canopy's definition; else 0,Canopy created variable
pct_aian,Percentage of students attending the learning environment identifying as American Indian or Alaska Native.,What is the racial/ethnic demographic breakdown of your learners?,Numeric,School survey
pct_asian,Percentage of students attending the learning environment identifying as Asian.,What is the racial/ethnic demographic breakdown of your learners?,Numeric,School survey
pct_black,Percentage of students attending the learning environment identifying as Black or African American.,What is the racial/ethnic demographic breakdown of your learners?,Numeric,School survey
pct_latinx,Percentage of students attending the learning environment identifying as Hispanic or Latinx.,What is the racial/ethnic demographic breakdown of your learners?,Numeric,School survey
pct_nhpi,Percentage of students attending the learning environment identifying as Native Hawaiian or Pacific Islander.,What is the racial/ethnic demographic breakdown of your learners?,Numeric,School survey
pct_white,Percentage of students attending the learning environment identifying as White.,What is the racial/ethnic demographic breakdown of your learners?,Numeric,School survey
pct_multiple,Percentage of students attending the learning environment identifying with 2+ races/ethnicities.,What is the racial/ethnic demographic breakdown of your learners?,Numeric,School survey
pct_bipoc,Percentage of students attending the learning environment who do not identify as White.,,Numeric,Canopy created variable
pct_ell,Percentage of students attending the learning environment who are classified as an English learner.,What percentage of your learners are classified as English learners?,Numeric,School survey
pct_frpl,Percentage of students attending the learning environment who are eligible for free and reduced-price lunch.,What percentage of your learners are eligible for free and reduced lunch or are considered economically disadvantaged?,Numeric,School survey
pct_swd,Percentage of students attending the learning environment with a documented disability or an IEP.,What percentage of your learners have a disability?,Numeric,School survey
student_experience,"Total number of students the learning environment serves. Number describes a mix of self-reported and NCES data as leaders are asked to verify the number provided by NCES, if applicable.",How many learners attend [SCHOOL NAME]?,Numeric,School survey
catalyst_key_cutting_edge,Indicates that being on the cutting edge and demonstrating what's possible is one of the top 3 reasons the learning environment is innovating.,Which of these goals best describe your reason for innovating? Select up to 3.,1 if Demonstrate what’s possible for other schools selected; else 0,School survey
catalyst_key_student_agency,Indicates that increasing student agency is one of the top 3 reasons the learning environment is innovating.,Which factors are currently leading to innovation in your learning environment?,1 if Increase student agency selected; else 0,School survey
catalyst_key_teacher_agency,Indicates that increasing teacher agency is one of the top 3 reasons the learning environment is innovating.,Which factors are currently leading to innovation in your learning environment?,1 if Increase teacher agency selected; else 0,School survey
catalyst_key_demographics,Indicates that adapting to a change in demographics is one of the top 3 reasons the learning environment is innovating.,Which factors are currently leading to innovation in your learning environment?,1 if Adapt to a change in demographics in our community selected; else 0,School survey
catalyst_key_school_culture,Indicates that improving school culture is one of the top 3 reasons the learning environment is innovating.,Which of these goals best describe your reason for innovating? Select up to 3.,1 if Improve school culture selected; else 0,School survey
catalyst_key_achievement,Indicates that improving academic achievement is one of the top 3 reasons the learning environment is innovating.,Which of these goals best describe your reason for innovating? Select up to 3.,1 if Improve academic achievement selected; else 0,School survey
catalyst_key_support,Indicates that better supporting a specific student population is one of the top 3 reasons the learning environment is innovating.,Which of these goals best describe your reason for innovating? Select up to 3.,1 if Better support a specific population of students selected; else 0,School survey
catalyst_key_stakeholders,Indicates that responding to stakeholder demand or advocacy is one of the top 3 reasons the learning environment is innovating.,Which of these goals best describe your reason for innovating? Select up to 3.,1 if Respond to stakeholder demand or advocacy selected; else 0,School survey
catalyst_key_inequities,Indicates that addressing systemic inequities is one of the top 3 reasons the learning environment is innovating.,Which of these goals best describe your reason for innovating? Select up to 3.,1 if Address systemic inequities selected; else 0,School survey
catalyst_key_absence,Indicates that addressing chronic absenteeism is one of the top 3 reasons the learning environment is innovating.,Which of these goals best describe your reason for innovating? Select up to 3.,1 if Address chronic absenteeism selected; else 0,School survey
catalyst_key_mental_health,Indicates that improving student mental health is one of the top 3 reasons the learning environment is innovating.,Which of these goals best describe your reason for innovating? Select up to 3.,1 if Improve student mental health selected; else 0,School survey
catalyst_key_other,Indicates that one of the top 3 reasons the learning environment is innovating was not reflected in response options.,Which of these goals best describe your reason for innovating? Select up to 3.,1 if Other selected; else 0,School survey
catalyst_key_other_text,Self-reported for innovating.,Which of these goals best describe your reason for innovating? Select up to 3.,Text provided to specify Other,School survey
catalyst_key_support_swd,Indicates that better supporting students with disabilities is one of the top 3 reasons the learning environment is innovating.,Which specific population of students are you aiming to better support?,NA if question was not displayed; 1 if Students with disabilities selected; else 0,School survey
catalyst_key_support_ell,Indicates that better supporting students classified as English learners is one of the top 3 reasons the learning environment is innovating.,Which specific population of students are you aiming to better support?,NA if question was not displayed; 1 if Students classified as English learners selected; else 0,School survey
catalyst_key_support_mll,Indicates that better supporting multilingual students is one of the top 3 reasons the learning environment is innovating.,Which specific population of students are you aiming to better support?,NA if question was not displayed; 1 if Multilingual students selected; else 0,School survey
catalyst_key_support_houseless,Indicates that better supporting students who are unhoused or facing housing insecurities is one of the top 3 reasons the learning environment is innovating.,Which specific population of students are you aiming to better support?,NA if question was not displayed; 1 if Students experiencing housing insecurity or homelessness selected; else 0,School survey
catalyst_key_support_frpl,Indicates that better supporting economically disadvantaged students is one of the top 3 reasons the learning environment is innovating.,Which specific population of students are you aiming to better support?,NA if question was not displayed; 1 if Economically disadvantaged students selected; else 0,School survey
catalyst_key_support_bipoc,Indicates that better supporting students of color is one of the top 3 reasons the learning environment is innovating.,Which specific population of students are you aiming to better support?,NA if question was not displayed; 1 if Students of color selected; else 0,School survey
catalyst_key_support_newcomer,Indicates that better supporting newcomer students is one of the top 3 reasons the learning environment is innovating.,Which specific population of students are you aiming to better support?,NA if question was not displayed; 1 if Newcomer students selected; else 0,School survey
catalyst_key_support_foster,Indicates that better supporting students in the foster care system is one of the top 3 reasons the learning environment is innovating.,Which specific population of students are you aiming to better support?,NA if question was not displayed; 1 if Students in the foster care system selected; else 0,School survey
catalyst_key_support_jj,Indicates that better supporting students in the juvenile justice system is one of the top 3 reasons the learning environment is innovating.,Which specific population of students are you aiming to better support?,NA if question was not displayed; 1 if Students in the juvenile justice system selected; else 0,School survey
catalyst_key_support_slife,Indicates that better supporting students with limited or interrupted formal education is one of the top 3 reasons the learning environment is innovating.,Which specific population of students are you aiming to better support?,NA if question was not displayed; 1 if Students with interrupted formal education selected; else 0,School survey
practices_adaptive_content,"Adaptive learning software uses algorithms or artificial intelligence to adapt content to individual learners. This may include tailoring the pace, difficulty, or format of instruction based on real-time assessments of student progress.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_advancement_mastery,"Students advance to new topics when they have demonstrated mastery of previous competencies, rather than advancing with only a minimal passing grade.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_advisories,"Small groups of students meet regularly (daily or weekly, over multiple years) with adult advisors to set learning goals, reflect on progress, and build positive relationships.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_ai_literacy,"Students learn how artificial intelligence systems work, how to critically evaluate AI systems and their output, and how to use AI effectively and responsibly.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_ai_materials,"The learning environment uses artificial intelligence tools to help generate or adapt student-facing learning materials such as rubrics, assignments, assessments, etc.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_ai_productivity,"The learning environment uses artificial intelligence tools to help streamline teacher tasks such as lesson planning, project design, communication, etc.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_ai_tutoring,"Students get additional help and support through software powered by artificial intelligence. The program may give instant feedback, answer questions, and suggest practice problems tailored to each student’s needs, helping them learn at their own pace.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_anti_racist,The learning environment is building a culture of taking direct action to dismantle policies and practices that create or perpetuate inequality between racial groups.,Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_apprenticeships,"Students engage in paid, multi-year training programs that combine on-the-job learning with related classroom instruction, often leading to industry credentials.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_assessments_agency,"Tests are administered to measure student performance on various dimensions of self-directed learning (e.g., self-awareness, agency, goal-setting and planning, etc.)",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_assessments_career,The learning environment assesses students' readiness to enter the workforce and pursue a career path.,Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_assessments_deeper,"The learning environment assesses deeper learning and 21st century skills beyond academic content mastery, e.g. communication, collaboration, critical thinking, etc.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_assessments_sel,"The learning environment assesses social-emotional and non-cognitive skills, e.g., self-management, social awareness, relationship skills, etc.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_blended_learning,"Students learn both online and in-person, in which both modalities are connected to provide an integrated learning experience, and with some element of student control over the time, place, path, or pace of learning.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_career_advising,"Students receive ongoing, individualized guidance to explore career interests, navigate pathways, reflect on work-based learning experiences, align coursework to short- and long-term goals, apply to programs or job opportunities, and prepare for next steps after graduation.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_career_exploration,"Students regularly engage in structured career exploration (e.g., industry talks, job shadowing, job fairs, mock interviews, virtual career tours, panels, site visits) that broaden their understanding of future options.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_career_prep,"The career-connected learning question has the definition integrated as part of it but including for reference:
The school helps students link what they learn in school to real-world futures—through exploration, skill-building, guidance from trusted adults, and hands-on experiences. ",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_client_projects,"As part of their coursework, students work on real-world projects co-designed or sponsored by industry partners.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_colead_cbo,"The learning environment involves community-based organizations in shared decision-making, and communicates how CBO input has informed decision-making. This may include strategies such as offering learning hubs and integrating expertise into schools.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_colead_family,"The learning environment involves families in shared decision-making, and communicates how family input has informed decision-making. This may include strategies such as participatory budgeting, family advisory groups, etc.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_colead_industry,"The learning environment involves industry-based partners in shared decision-making, and communicates how these partners' input has informed decision-making. This may include strategies such as designing career pathways, developing curriculum and assessments, or offering validated work-based learning as a core part of the school's
design.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_colead_students,"The learning environment involves students in shared decision-making, and communicates how student input has informed decision-making. This may include strategies such as student advisory councils, input on curriculum and culture-setting, etc.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_colead_teachers,"The learning environment involves teachers in shared decision-making, and communicates how teacher input has informed decision-making. Teachers make decisions in areas such as learning environment success, curriculum, budget, evaluating their colleagues, selecting personnel, and more.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_coleadership,"The learning environment involves stakeholders in the process of decision-making and communicates how the input gathered from stakeholders informs decision-making. This may include teachers, students, families, community-based organizations, industry-based partners, or others.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_college_advising,"Students receive ongoing, individualized guidance to explore higher education options, align coursework to short- and long-term goals, apply to programs, complete the FAFSA application, and prepare for next steps after graduation.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_community_partnerships,"Partnerships with businesses and the community help to facilitate experiential learning, internships, mentorships, tutoring, etc.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_community_supports,"The learning environment offers (or partners to offer) social and wraparound support services to meet the needs of families and the community at large, e.g. through medical care, nutritional services, adult learning, childcare, family counseling, financial advising.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_competency_education,"The learning environment's model is designed to ensure students are becoming proficient by advancing on demonstrated mastery. May include a deliberate focus on student agency, transparent learning expectations, timely/differentiated supports, varied pacing and pathways, meaningful and formative assessment.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_coop_ed,"Students alternate between school and structured, credit-bearing work placements connected to their studies.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_culturally_responsive,Pedagogy and curriculum are designed to support students who have been marginalized to be independent learners. Core barriers to learning for historically marginalized learners are examined and removed.,Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_disaggregated_participation_data,"The learning environment tracks data on the extent to which different groups of students (e.g., by race, gender, disability, socioeconomic status) participate in programs to ensure that students have equitable access.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_dual_language,A form of bilingual education in which students are taught literacy and content in two languages.,Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_early_college,"A hybrid of high school and college, where all students take both high school and college classes simultaneously, earning credit towards a college degree.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
practices_extended_time,"The learning environment increases total instructional time through a longer school day, extended school year, or year-round schedule.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey
