Variable name,Equivalent 2024-25,Corresponding question,Format,Disclosure,Var Type,Notes
school_id,school_id,Canopy ID,,Public facing,Numeric,
nces_id,nces_id,NCES ID,,Public facing,Numeric,
school_name,school_name,School name:,,Public facing,Open response,
school_city,school_city,School city:,,Public facing,Open response,
school_address,school_address,School address:,,Public facing,Open response,
school_state,school_state,School state:,,Public facing,Categorical,
school_district,school_district,School district:,,Public facing,Open response,
website,website,School website:,,Public facing,Open response,
school_type,school_type,Which option best describes your school or learning environment?,,Public facing,Categorical,
school_desc_homeschool,school_desc_homeschool,Do any of the following descriptors apply to your school or learning environment?,1 if Homeschooling cooperative selected; else 0,Public facing,Binary,
school_desc_hybrid,school_desc_hybrid,Do any of the following descriptors apply to your school or learning environment?,1 if Hybrid school selected; else 0,Public facing,Binary,
school_desc_micro,school_desc_micro,Do any of the following descriptors apply to your school or learning environment?,1 if Microschool selected; else 0,Public facing,Binary,
school_desc_part_time,school_desc_part_time,Do any of the following descriptors apply to your school or learning environment?,1 if Part time school selected; else 0,Public facing,Binary,
school_desc_sws,school_desc_sws,Do any of the following descriptors apply to your school or learning environment?,1 if School-within-school selected; else 0,Public facing,Binary,
school_desc_virtual,school_desc_virtual,Do any of the following descriptors apply to your school or learning environment?,1 if Virtual school selected; else 0,Public facing,Binary,
school_desc_other,school_desc_other,Do any of the following descriptors apply to your school or learning environment?,1 if Other selected; else 0,Public facing,Binary,
school_desc_other_text,school_desc_other_text,Do any of the following descriptors apply to your school or learning environment?,Text provided to specify Other,Public facing,Open response,
school_enrollment,school_enrollment,How many learners attend [SCHOOL NAME]?,,Public facing,Numeric,
grades_pk,grades_pk,Which grades does your learning environment serve?,1 if Pre-Kindergarten selected; else 0,Public facing,Binary,
grades_k,grades_k,Which grades does your learning environment serve?,1 if Kindergarten selected; else 0,Public facing,Binary,
grades_1,grades_1,Which grades does your learning environment serve?,1 if 1st grade selected; else 0,Public facing,Binary,
grades_2,grades_2,Which grades does your learning environment serve?,1 if 2nd grade selected; else 0,Public facing,Binary,
grades_3,grades_3,Which grades does your learning environment serve?,1 if 3rd grade selected; else 0,Public facing,Binary,
grades_4,grades_4,Which grades does your learning environment serve?,1 if 4th grade selected; else 0,Public facing,Binary,
grades_5,grades_5,Which grades does your learning environment serve?,1 if 5th grade selected; else 0,Public facing,Binary,
grades_6,grades_6,Which grades does your learning environment serve?,1 if 6th grade selected; else 0,Public facing,Binary,
grades_7,grades_7,Which grades does your learning environment serve?,1 if 7th grade selected; else 0,Public facing,Binary,
grades_8,grades_8,Which grades does your learning environment serve?,1 if 8th grade selected; else 0,Public facing,Binary,
grades_9,grades_9,Which grades does your learning environment serve?,1 if 9th grade selected; else 0,Public facing,Binary,
grades_10,grades_10,Which grades does your learning environment serve?,1 if 10th grade selected; else 0,Public facing,Binary,
grades_11,grades_11,Which grades does your learning environment serve?,1 if 11th grade selected; else 0,Public facing,Binary,
grades_12,grades_12,Which grades does your learning environment serve?,1 if 12th grade selected; else 0,Public facing,Binary,
grades_past_12,grades_past_12,Which grades does your learning environment serve?,1 if Past 12th grade selected; else 0,Public facing,Binary,
grades_other,grades_other,Which grades does your learning environment serve?,1 if Other selected; else 0,Public facing,Binary,
grades_other_text,grades_other_text,Which grades does your learning environment serve?,Text provided to specify Other,Public facing,Open response,
pct_aian,pct_aian,What is the racial/ethnic demographic breakdown of your learners?,Number provided for American Indian or Alaska Native,Public facing,Numeric,
pct_asian,pct_asian,What is the racial/ethnic demographic breakdown of your learners?,Number provided for Asian,Public facing,Numeric,
pct_black,pct_black,What is the racial/ethnic demographic breakdown of your learners?,Number provided for Black or African American,Public facing,Numeric,
pct_latinx,pct_latinx,What is the racial/ethnic demographic breakdown of your learners?,Number provided for Latinx/e or Hispanic,Public facing,Numeric,
pct_nhpi,pct_nhpi,What is the racial/ethnic demographic breakdown of your learners?,Number provided for Native Hawaiian or Other Pacific Islander,Public facing,Numeric,
pct_multiple,pct_multiple,What is the racial/ethnic demographic breakdown of your learners?,Number provided for Two or more races,Public facing,Numeric,
pct_white,pct_white,What is the racial/ethnic demographic breakdown of your learners?,"Number provided for White, non-Latinx/e or Hispanic",Public facing,Numeric,
pct_race_na,pct_race_na,What is the racial/ethnic demographic breakdown of your learners?,1 if We do not collect this data selected; else 0,Public facing,Binary,
locale_rural,locale_rural,Which geography describes the student population your school serves?,1 if Rural selected; else 0,Public facing,Binary,
locale_urban,locale_urban,Which geography describes the student population your school serves?,1 if Urban selected; else 0,Public facing,Binary,
locale_suburban,locale_suburban,Which geography describes the student population your school serves?,1 if Suburban selected; else 0,Public facing,Binary,
locale_other,locale_other,Which geography describes the student population your school serves?,1 if Other selected; else 0,Public facing,Binary,
locale_other_text,locale_other_text,Which geography describes the student population your school serves?,Text provided to specify Other,Public facing,Open response,
pct_ell,pct_ell,What percentage of your learners are classified as English learners?,,Public facing,Numeric,
pct_ell_na,pct_ell_na,What percentage of your learners are classified as English learners?,1 if We do not collect this data selected; else 0,Public facing,Binary,
pct_frpl,pct_frpl,What percentage of your learners are eligible for free and reduced lunch or are considered economically disadvantaged?,,Public facing,Numeric,
pct_frpl_na,pct_frpl_na,What percentage of your learners are eligible for free and reduced lunch or are considered economically disadvantaged?,1 if We do not collect this data selected; else 0,Public facing,Binary,
pct_swd,pct_swd,What percentage of your learners have a disability?,,Public facing,Numeric,
pct_swd_na,pct_swd_na,What percentage of your learners have a disability?,1 if We do not collect this data selected; else 0,Public facing,Binary,
leadership_diversity,leadership_diversity,How racially and/or ethnically diverse is your learning environment’s leadership team? ,,Internal,Categorical,
teaching_diversity,teaching_diversity,How racially and/or ethnically diverse is your learning environment’s teaching staff?,,Internal,Categorical,
student_experience,student_experience,How would you describe the student experience that the learning environment is designed to create?,,Public facing,Open response,
catalyst_key_cutting_edge,catalyst_key_cutting_edge,Which of these goals best describe your reason for innovating? Select up to 3.,1 if Demonstrate what’s possible for other schools selected; else 0,Public facing,Binary,
catalyst_key_student_agency,catalyst_key_student_agency,Which of these goals best describe your reason for innovating? Select up to 3.,1 if Increase student agency selected; else 0,Public facing,Binary,
catalyst_key_teacher_agency,catalyst_key_teacher_agency,Which of these goals best describe your reason for innovating? Select up to 3.,1 if Increase teacher agency selected; else 0,Public facing,Binary,
catalyst_key_demographics,catalyst_key_demographics,Which of these goals best describe your reason for innovating? Select up to 3.,1 if Adapt to a change in demographics in our community selected; else 0,Public facing,Binary,
catalyst_key_school_culture,catalyst_key_school_culture,Which of these goals best describe your reason for innovating? Select up to 3.,1 if Improve school culture selected; else 0,Public facing,Binary,
catalyst_key_achievement,catalyst_key_achievement,Which of these goals best describe your reason for innovating? Select up to 3.,1 if Improve academic achievement selected; else 0,Public facing,Binary,
catalyst_key_support,catalyst_key_support,Which of these goals best describe your reason for innovating? Select up to 3.,1 if Better support a specific population of students selected; else 0,Public facing,Binary,
catalyst_key_stakeholders,catalyst_key_stakeholders,Which of these goals best describe your reason for innovating? Select up to 3.,1 if Respond to stakeholder demand or advocacy selected; else 0,Public facing,Binary,
catalyst_key_inequities,catalyst_key_inequities,Which of these goals best describe your reason for innovating? Select up to 3.,1 if Address systemic inequities selected; else 0,Public facing,Binary,
catalyst_key_absence,catalyst_key_absence,Which of these goals best describe your reason for innovating? Select up to 3.,1 if Address chronic absenteeism selected; else 0,Public facing,Binary,
catalyst_key_mental_health,catalyst_key_mental_health,Which of these goals best describe your reason for innovating? Select up to 3.,1 if Improve student mental health selected; else 0,Public facing,Binary,
catalyst_key_other,catalyst_key_other,Which of these goals best describe your reason for innovating? Select up to 3.,1 if Other selected; else 0,Public facing,Binary,
catalyst_key_other_text,catalyst_key_other_text,Which of these goals best describe your reason for innovating? Select up to 3.,Text provided to specify Other,Public facing,Open response,
catalyst_key_support_swd,catalyst_key_support_swd,Which specific population of students are you aiming to better support?,NA if question was not displayed; 1 if Students with disabilities selected; else 0,Public facing,Binary,
catalyst_key_support_ell,catalyst_key_support_ell,Which specific population of students are you aiming to better support?,NA if question was not displayed; 1 if Students classified as English learners selected; else 0,Public facing,Binary,
catalyst_key_support_mll,catalyst_key_support_mll,Which specific population of students are you aiming to better support?,NA if question was not displayed; 1 if Multilingual students selected; else 0,Public facing,Binary,
catalyst_key_support_houseless,catalyst_key_support_houseless,Which specific population of students are you aiming to better support?,NA if question was not displayed; 1 if Students experiencing housing insecurity or homelessness selected; else 0,Public facing,Binary,
catalyst_key_support_frpl,catalyst_key_support_frpl,Which specific population of students are you aiming to better support?,NA if question was not displayed; 1 if Economically disadvantaged students selected; else 0,Public facing,Binary,
catalyst_key_support_bipoc,catalyst_key_support_bipoc,Which specific population of students are you aiming to better support?,NA if question was not displayed; 1 if Students of color selected; else 0,Public facing,Binary,
catalyst_key_support_newcomer,catalyst_key_support_newcomer,Which specific population of students are you aiming to better support?,NA if question was not displayed; 1 if Newcomer students selected; else 0,Public facing,Binary,
catalyst_key_support_foster,catalyst_key_support_foster,Which specific population of students are you aiming to better support?,NA if question was not displayed; 1 if Students in the foster care system selected; else 0,Public facing,Binary,
catalyst_key_support_jj,catalyst_key_support_jj,Which specific population of students are you aiming to better support?,NA if question was not displayed; 1 if Students in the juvenile justice system selected; else 0,Public facing,Binary,
catalyst_key_support_slife,catalyst_key_support_slife,Which specific population of students are you aiming to better support?,NA if question was not displayed; 1 if Students with interrupted formal education selected; else 0,Public facing,Binary,
ccl_alt_tag,,"“Career-connected learning” links what students learn in school to real-world futures, through exploration, skill-building, guidance from trusted adults, and hands-on experiences. Are you implementing career-connected learning school- or site-wide this year?",,Internal,Categorical,"Because CCL is a core focus of this year's survey, we broke out questions related to its implementation school- or site-wide and related questions about core/time. This alternate version includes 2 possible ""Yes"" responses - school/site-wide (which aligns with existing tag structures) or yes, but not school/site-wide. This version will be used for internal analysis but we will report the forms that align with tags in the public-facing version."
practices_career_prep,practices_career_prep,"“Career-connected learning” links what students learn in school to real-world futures, through exploration, skill-building, guidance from trusted adults, and hands-on experiences. Are you implementing career-connected learning school- or site-wide this year?",1 if Yes selected; else 0,Public facing,Binary,"For future tags, ""CCL"" will replace name/description of former career prep and work-based learning tag."
core_career_prep,core_career_prep,How long has your school been implementing career-connected learning?,,Public facing,Binary,"For future tags, ""CCL"" will replace name/description of former career prep and work-based learning tag."
time_career_prep,time_career_prep,Is career-connected learning central to your school’s design?,1 if Yes selected; else 0,Public facing,Categorical,"For future tags, ""CCL"" will replace name/description of former career prep and work-based learning tag."
practices_*,practices_*,"For selected practices, please see tagging schema for variable names.",1 if tag is selected; else 0,Public facing,Binary,
core_*,core_*,,1 if tag is selected as central to learning environment's design; else 0,Public facing,Binary,
time_*,time_*,,Text provided; else blank,Public facing,Categorical,
inclusion_swd,,Which of the following student groups are fully integrated into all classrooms and courses offered in the school?,1 if Students with disabilities selected; else 0,Public facing,Binary,
inclusion_ell,,Which of the following student groups are fully integrated into all classrooms and courses offered in the school?,1 if Students classified as English learners selected; else 0,Public facing,Binary,
inclusion_newcomer,,Which of the following student groups are fully integrated into all classrooms and courses offered in the school?,1 if Newcomer students selected; else 0,Public facing,Binary,
inclusion_jj,,Which of the following student groups are fully integrated into all classrooms and courses offered in the school?,1 if Students in the juvenile justice system selected; else 0,Public facing,Binary,
inclusion_other,,Which of the following student groups are fully integrated into all classrooms and courses offered in the school?,1 if Other selected; else 0,Public facing,Binary,
inclusion_other_text,,Which of the following student groups are fully integrated into all classrooms and courses offered in the school?,Text provided; else blank,Public facing,Binary,
impact_evidence_*,impact_evidence,Is there evidence of your school’s impact on learners that you want to share publicly on your Canopy profile? ,1 if link or document provided; else 0,Public facing,Binary,"1 column for each piece shared - name with _1, _2, or _3 as needed."
impact_title_*,impact_title,Is there evidence of your school’s impact on learners that you want to share publicly on your Canopy profile? ,File name provided; else blank,Public facing,Open response,"2 column for each piece shared - name with _1, _2, or _3 as needed."
impact_doc_id_*,impact_doc_id,Is there evidence of your school’s impact on learners that you want to share publicly on your Canopy profile? ,Document ID for the uploaded file; else blank,Public facing,Open response,"3 column for each piece shared - name with _1, _2, or _3 as needed."
ai_career_aims,,"Given advances in AI, to what extent has your school changed its learning aims (e.g., standards, curriculum, or competencies) to ensure students are ready for future careers?",,Internal,Categorical,Light yellow indicates new variable
ai_career_aims_text,,"Describe how your school has changed its learning aims, and how AI influenced the change.",NA if question was not displayed; Text provided; else blank,Internal,Open response,Only displayed to those who answered moderately or significantly
ccl_stage_starting,,Which best describes your school’s current stage in implementing career-connected learning?,1 if Just getting started selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_stage_early,,Which best describes your school’s current stage in implementing career-connected learning?,1 if Early implementation selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_stage_scaling,,Which best describes your school’s current stage in implementing career-connected learning?,1 if Scaling selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_stage_mature,,Which best describes your school’s current stage in implementing career-connected learning?,1 if Mature model selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_stage_other,,Which best describes your school’s current stage in implementing career-connected learning?,1 if Other selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_stage_other_text,,Which best describes your school’s current stage in implementing career-connected learning?,Text provided; else blank,Internal,Open response,Response N/A if not selected or left blank
ccl_design_pathways,,In what ways is career-connected learning built into your overall school design?,1 if Part of required coursework or graduation pathways selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_design_levels,,In what ways is career-connected learning built into your overall school design?,1 if Present across multiple grade levels selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_design_core,,In what ways is career-connected learning built into your overall school design?,1 if Integrated with core academic content selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_design_sel,,In what ways is career-connected learning built into your overall school design?,1 if Integrated with social-emotional learning structures selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_design_advising,,In what ways is career-connected learning built into your overall school design?,"1 if Reflected in individualized advising, planning, or goal-setting selected; else 0",Internal,Binary,Response N/A if not selected or left blank
ccl_design_schedules,,In what ways is career-connected learning built into your overall school design?,1 if Enabled by schoolwide scheduling structures selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_design_staffing,,In what ways is career-connected learning built into your overall school design?,1 if Supported by staff roles dedicated to career-connected learning selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_design_pd,,In what ways is career-connected learning built into your overall school design?,1 if Reflected in school-wide professional development for all staff selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_design_mission,,In what ways is career-connected learning built into your overall school design?,1 if Reflected in school-wide mission and/or strategic plan selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_design_assessments,,In what ways is career-connected learning built into your overall school design?,1 if Assessed using measures of workplace competencies or technical skills selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_design_other,,In what ways is career-connected learning built into your overall school design?,1 if None of the above selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_participation_auto,,How is participation in your school’s career-connected learning experiences determined?,1 if All students automatically participate selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_participation_interest,,How is participation in your school’s career-connected learning experiences determined?,1 if Students participate based on interest/choice selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_participation_academics,,How is participation in your school’s career-connected learning experiences determined?,1 if Students must meet academic requirements to participate selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_participation_readiness,,How is participation in your school’s career-connected learning experiences determined?,"1 if Students must meet attendance, behavior, or readiness expectations selected; else 0",Internal,Binary,Response N/A if not selected or left blank
ccl_participation_logistics,,How is participation in your school’s career-connected learning experiences determined?,"1 if Participation depends on schedule, transportation, or other logistical factors selected; else 0",Internal,Binary,Response N/A if not selected or left blank
ccl_participation_grade,,How is participation in your school’s career-connected learning experiences determined?,1 if Participation varies by grade level selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_participation_program,,How is participation in your school’s career-connected learning experiences determined?,1 if Participation varies by specific program selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_participation_capacity,,How is participation in your school’s career-connected learning experiences determined?,1 if Participation is limited by program capacity or available seats selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_participation_age,,How is participation in your school’s career-connected learning experiences determined?,1 if Participation is limited by age restrictions for workplace access selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_participation_developing,,How is participation in your school’s career-connected learning experiences determined?,1 if We are still designing participation structures selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_participation_other,,How is participation in your school’s career-connected learning experiences determined?,1 if Other selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_participation_other_text,,How is participation in your school’s career-connected learning experiences determined?,Text provided; else blank,Internal,Open response,Response N/A if not selected or left blank
ccl_model_national,,Which of the following best describes the model your school uses to organize career-connected learning?,1 if A nationally-defined model selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_model_state,,Which of the following best describes the model your school uses to organize career-connected learning?,1 if A state-defined model selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_model_local,,Which of the following best describes the model your school uses to organize career-connected learning?,"1 if A locally-defined model orginally developed by the school, district, or network selected; else 0",Internal,Binary,Response N/A if not selected or left blank
ccl_model_other,,Which of the following best describes the model your school uses to organize career-connected learning?,1 if Other selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_model_other_text,,Which of the following best describes the model your school uses to organize career-connected learning?,Text provided; else blank,Internal,Open response,Response N/A if not selected or left blank
ccl_model_none,,Which of the following best describes the model your school uses to organize career-connected learning?,1 if We are not currently using a defined model selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_partner_exploration,,How do employer or industry partners participate in your school?,1 if Partners support career exploration selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_partner_advising,,How do employer or industry partners participate in your school?,1 if Partners advise or participate in school governance selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_partner_opportunities,,How do employer or industry partners participate in your school?,1 if Partners offer experiential learning opportunities selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_partner_employment,,How do employer or industry partners participate in your school?,1 if Partners create dedicated employment pipelines selected; else 0,Internal,Binary,Response N/A if not selected or left blank
ccl_tracking,,Does your school systematically track information on students after they leave your school?,,Internal,Categorical,Response N/A if not selected or left blank
ccl_outcome_engagement,,How important are the following student outcomes in your school’s CCL approach?,Selected response for Engagement,Internal,Categorical,Response N/A if not selected or left blank
ccl_outcome_belonging,,How important are the following student outcomes in your school’s CCL approach?,Selected response for Belonging,Internal,Categorical,Response N/A if not selected or left blank
ccl_outcome_academic,,How important are the following student outcomes in your school’s CCL approach?,Selected response for Academic success,Internal,Categorical,Response N/A if not selected or left blank
ccl_outcome_economic,,How important are the following student outcomes in your school’s CCL approach?,Selected response for Economic mobility,Internal,Categorical,Response N/A if not selected or left blank
ccl_outcome_identity,,How important are the following student outcomes in your school’s CCL approach?,Selected response for Identity and purpose,Internal,Categorical,Response N/A if not selected or left blank
ccl_outcome_civic,,How important are the following student outcomes in your school’s CCL approach?,Selected response for Civic engagement and responsibility,Internal,Categorical,Response N/A if not selected or left blank
ccl_outcome_agency,,How important are the following student outcomes in your school’s CCL approach?,Selected response for Agency and self-direction,Internal,Categorical,Response N/A if not selected or left blank
ccl_outcome_durable,,How important are the following student outcomes in your school’s CCL approach?,Selected response for Durable skills,Internal,Categorical,Response N/A if not selected or left blank
ccl_outcome_social,,How important are the following student outcomes in your school’s CCL approach?,Selected response for Social capital,Internal,Categorical,Response N/A if not selected or left blank
ccl_outcome_access,,How important are the following student outcomes in your school’s CCL approach?,Selected response for Higher education access,Internal,Categorical,Response N/A if not selected or left blank
ccl_outcome_retention,,How important are the following student outcomes in your school’s CCL approach?,Selected response for Higher education success,Internal,Categorical,Response N/A if not selected or left blank
ccl_outcome_credentials,,How important are the following student outcomes in your school’s CCL approach?,Selected response for Industry credentials,Internal,Categorical,Response N/A if not selected or left blank
ccl_outcome_employment,,How important are the following student outcomes in your school’s CCL approach?,Selected response for Work-based skills and employability,Internal,Categorical,Response N/A if not selected or left blank
ccl_outcome_engagement_measure,,"For the outcome(s) you indicated are important above, how does your school currently measure progress?",NA if question was not displayed; Selected response for Engagement,Internal,Categorical,Only displayed if they selected Somewhat or Very in the previous question; blanks should be coded as N/A
ccl_outcome_belonging_measure,,"For the outcome(s) you indicated are important above, how does your school currently measure progress?",NA if question was not displayed; Selected response for Belonging,Internal,Categorical,Only displayed if they selected Somewhat or Very in the previous question; blanks should be coded as N/A
ccl_outcome_academic_measure,,"For the outcome(s) you indicated are important above, how does your school currently measure progress?",NA if question was not displayed; Selected response for Academic success,Internal,Categorical,Only displayed if they selected Somewhat or Very in the previous question; blanks should be coded as N/A
ccl_outcome_economic_measure,,"For the outcome(s) you indicated are important above, how does your school currently measure progress?",NA if question was not displayed; Selected response for Economic mobility,Internal,Categorical,Only displayed if they selected Somewhat or Very in the previous question; blanks should be coded as N/A
ccl_outcome_identity_measure,,"For the outcome(s) you indicated are important above, how does your school currently measure progress?",NA if question was not displayed; Selected response for Identity and purpose,Internal,Categorical,Only displayed if they selected Somewhat or Very in the previous question; blanks should be coded as N/A
ccl_outcome_civic_measure,,"For the outcome(s) you indicated are important above, how does your school currently measure progress?",NA if question was not displayed; Selected response for Civic engagement and responsibility,Internal,Categorical,Only displayed if they selected Somewhat or Very in the previous question; blanks should be coded as N/A
ccl_outcome_agency_measure,,"For the outcome(s) you indicated are important above, how does your school currently measure progress?",NA if question was not displayed; Selected response for Agency and self-direction,Internal,Categorical,Only displayed if they selected Somewhat or Very in the previous question; blanks should be coded as N/A
ccl_outcome_durable_measure,,"For the outcome(s) you indicated are important above, how does your school currently measure progress?",NA if question was not displayed; Selected response for Durable skills,Internal,Categorical,Only displayed if they selected Somewhat or Very in the previous question; blanks should be coded as N/A
ccl_outcome_social_measure,,"For the outcome(s) you indicated are important above, how does your school currently measure progress?",NA if question was not displayed; Selected response for Social capital,Internal,Categorical,Only displayed if they selected Somewhat or Very in the previous question; blanks should be coded as N/A
ccl_outcome_access_measure,,"For the outcome(s) you indicated are important above, how does your school currently measure progress?",NA if question was not displayed; Selected response for Higher education access,Internal,Categorical,Only displayed if they selected Somewhat or Very in the previous question; blanks should be coded as N/A
ccl_outcome_retention_measure,,"For the outcome(s) you indicated are important above, how does your school currently measure progress?",NA if question was not displayed; Selected response for Higher education success,Internal,Categorical,Only displayed if they selected Somewhat or Very in the previous question; blanks should be coded as N/A
ccl_outcome_credentials_measure,,"For the outcome(s) you indicated are important above, how does your school currently measure progress?",NA if question was not displayed; Selected response for Industry credentials,Internal,Categorical,Only displayed if they selected Somewhat or Very in the previous question; blanks should be coded as N/A
ccl_outcome_employment_measure,,"For the outcome(s) you indicated are important above, how does your school currently measure progress?",NA if question was not displayed; Selected response for Work-based skills and employability,Internal,Categorical,Only displayed if they selected Somewhat or Very in the previous question; blanks should be coded as N/A
ccl_barrier_utility,,What are the biggest barriers your school faces when measuring progress toward the outcomes you care about?,1 if We're not sure what information would be most useful to track selected; else 0,Internal,Binary,Only top 3 were selected
ccl_barrier_assessment,,What are the biggest barriers your school faces when measuring progress toward the outcomes you care about?,1 if We're not sure what assessment or measure to use selected; else 0,Internal,Binary,Only top 3 were selected
ccl_barrier_resource,,What are the biggest barriers your school faces when measuring progress toward the outcomes you care about?,1 if The data we need is difficult and time-consuming to collect/gather selected; else 0,Internal,Binary,Only top 3 were selected
ccl_barrier_access,,What are the biggest barriers your school faces when measuring progress toward the outcomes you care about?,"1 if The data exists, but we can't access it selected; else 0",Internal,Binary,Only top 3 were selected
ccl_barrier_integration,,What are the biggest barriers your school faces when measuring progress toward the outcomes you care about?,"1 if The data exists and we can access it, but it's housed in different systems that don't connect selected; else 0",Internal,Binary,Only top 3 were selected
ccl_barrier_analysis,,What are the biggest barriers your school faces when measuring progress toward the outcomes you care about?,1 if We lack the systems or tools to analyze the data selected; else 0,Internal,Binary,Only top 3 were selected
ccl_barrier_capacity,,What are the biggest barriers your school faces when measuring progress toward the outcomes you care about?,1 if We lack the time or staff capacity to regularly use this information selected; else 0,Internal,Binary,Only top 3 were selected
ccl_barrier_accountability,,What are the biggest barriers your school faces when measuring progress toward the outcomes you care about?,1 if Required accountability reporting limits our ability to track a broader set of outcomes selected; else 0,Internal,Binary,Only top 3 were selected
ccl_capacity_staffing,,To what extent does your school currently have the capacity needed to deliver high-quality career-connected learning?,Selected response for Staffing,Internal,Categorical,Response N/A if not selected or left blank
ccl_capacity_coordination,,To what extent does your school currently have the capacity needed to deliver high-quality career-connected learning?,Selected response for Dedicated coordination time,Internal,Categorical,Response N/A if not selected or left blank
ccl_capacity_pd,,To what extent does your school currently have the capacity needed to deliver high-quality career-connected learning?,Selected response for Teaching training or professional learning,Internal,Categorical,Response N/A if not selected or left blank
ccl_capacity_advising,,To what extent does your school currently have the capacity needed to deliver high-quality career-connected learning?,Selected response for Structures for student guidance and pathway planning,Internal,Categorical,Response N/A if not selected or left blank
ccl_capacity_scheduling,,To what extent does your school currently have the capacity needed to deliver high-quality career-connected learning?,Selected response for Scheduling/time for implementation,Internal,Categorical,Response N/A if not selected or left blank
ccl_capacity_transportation,,To what extent does your school currently have the capacity needed to deliver high-quality career-connected learning?,Selected response for Transportation,Internal,Categorical,Response N/A if not selected or left blank
ccl_capacity_funding,,To what extent does your school currently have the capacity needed to deliver high-quality career-connected learning?,Selected response for Funding,Internal,Categorical,Response N/A if not selected or left blank
ccl_capacity_curriculum,,To what extent does your school currently have the capacity needed to deliver high-quality career-connected learning?,Selected response for Aligned curriculum and assessment materials,Internal,Categorical,Response N/A if not selected or left blank
ccl_capacity_facilities,,To what extent does your school currently have the capacity needed to deliver high-quality career-connected learning?,"Selected response for Industry-aligned facilities, equipment, and technology",Internal,Categorical,Response N/A if not selected or left blank
ccl_capacity_employer_partners,,To what extent does your school currently have the capacity needed to deliver high-quality career-connected learning?,Selected response for Employer or industry partnerships,Internal,Categorical,Response N/A if not selected or left blank
ccl_capacity_highered_partners,,To what extent does your school currently have the capacity needed to deliver high-quality career-connected learning?,Selected response for Higher education partnerships,Internal,Categorical,Response N/A if not selected or left blank
ccl_capacity_placement,,To what extent does your school currently have the capacity needed to deliver high-quality career-connected learning?,Selected response for Student placement or supervision in work-based learning opportunities,Internal,Categorical,Response N/A if not selected or left blank
ccl_capacity_other,,To what extent does your school currently have the capacity needed to deliver high-quality career-connected learning?,Selected response for Other,Internal,Categorical,Response N/A if not selected or left blank
ccl_capacity_other_text,,To what extent does your school currently have the capacity needed to deliver high-quality career-connected learning?,Text provided; else blank,Internal,Open response,Response N/A if not selected or left blank
contact_name,contact_name,Please share a public contact for your school. ,,Public facing,Open response,
contact_role,contact_role,Please share a public contact for your school. ,,Public facing,Open response,
contact_email,contact_email,Please share a public contact for your school. ,,Public facing,Open response,
respondent_name,respondent_name,Please share who completed this survey.,,Internal,Open response,
respondent_role,respondent_role,Please share who completed this survey.,,Internal,Open response,
respondent_email,respondent_email,Please share who completed this survey.,,Internal,Open response,
respondent_race,respondent_race,What is your racial/ethnic identity? ,comma separated,Internal,Categorical,
respondent_gender,respondent_gender,How do you currently identify your gender?,comma separated,Internal,Categorical,